Illinois
1997
"Taft, J. B., Wilhelm, G. S., Ladd, D. M., & Masters, L. A. 1997. Floristic quality assessment for vegetation in Illinois, a method for assessing vegetation integrity. Westville: Illinois Native Plant Society."
"Illinois  , 1997"

"Total Species:",3040
"Native Species:",2084
"Non-native Species:",956
"Total Mean C:",4.4
"Native Mean C:",6.4

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Lolium multiflorum",,LOLMUL,non-native,0,5,grass,annual,"italian rye grass"
"Lolium perenne",,LOLPER,non-native,0,3,grass,perennial,"perennial rye grass"
"Lolium temulentum",,LOLTEM,non-native,0,5,grass,annual,darnel
"Lonicera dioica",,LONDID,native,10,3,vine,perennial,"limber honeysuckle"
"Lonicera dioica v. glaucescens",,LONDIG,native,10,5,vine,perennial,"red honeysuckle"
"Lonicera flava",,LONFLA,native,10,5,vine,perennial,"yellow honeysuckle"
"Lonicera japonica",,LONJAP,non-native,0,3,vine,perennial,"japanese honeysuckle"
"Lonicera maackii",,LONMAA,non-native,0,5,shrub,perennial,"amur honeysuckle"
"Lonicera morrowi",,LONMOR,non-native,0,5,shrub,perennial,"morrows honeysuckle"
"Lonicera prolifera",,LONPRO,native,5,5,vine,perennial,"grape honeysuckle"
"Lonicera ruprechtiana",,LONRUP,non-native,0,5,shrub,perennial,"manchurian honeysuckle"
"Lonicera sempervirens",,LONSEM,non-native,0,1,shrub,perennial,"trumpet honeysuckle"
"Lonicera standishii",,LONSTA,non-native,0,5,shrub,perennial,honeysuckle
"Lonicera tatarica",,LONTAT,non-native,0,3,shrub,perennial,"tartarian honeysuckle"
"Lonicera x bella",,LONBEL,non-native,0,3,shrub,perennial,"showy fly honeysuckle"
"Lonicera x heckrottii",,LONHEC,non-native,0,5,vine,perennial,"gold flame honeysuckle"
"Lonicera x minutiflora",,LONMIN,non-native,0,5,shrub,perennial,"fly honeysuckle"
"Lonicera x muendeniensis",,LONMUE,non-native,0,2,shrub,perennial,"common fly honeysuckle"
"Lonicera x muscaviensis",,LONMUS,non-native,0,5,shrub,perennial,"fly honeysuckle"
"Lonicera x notha",,LONNOT,non-native,0,5,shrub,perennial,"hybrid fly honeysuckle"
"Lonicera x xylosteoides",,LONXYD,non-native,0,5,shrub,perennial,"fly honeysuckle"
"Lonicera xylosteum",,LONXYM,non-native,0,5,shrub,perennial,"european fly honeysuckle"
"Lotus corniculatus",,LOTCOR,non-native,0,1,forb,perennial,"birdsfoot trefoil"
"Ludwigia alternifolia",,LUDALT,native,5,-5,forb,perennial,seedbox
"Ludwigia decurrens",,LUDDEC,native,9,-5,forb,annual,"erect primrose willow"
"Ludwigia glandulosa",,LUDGLA,native,8,-5,forb,perennial,"false loosestrife"
"Ludwigia leptocarpa",,LUDLEP,native,7,-5,forb,annual,"hairy primrose willow"
"Ludwigia palustris v. americana",,LUDPAL,native,4,-5,forb,perennial,"marsh purslane"
"Ludwigia peploides v. glabrescens",,LUDPEP,native,5,-5,forb,perennial,"creeping primrose willow"
"Ludwigia polycarpa",,LUDPOL,native,5,-5,forb,perennial,"false loosestrife"
"Luffa cylindrica",,LUFCYL,non-native,0,5,vine,perennial,luffa
"Lunaria annua",,LUNANN,non-native,0,5,forb,annual,honesty
"Lupinus perennis",,LUPPER,native,8,5,forb,perennial,"wild lupine"
"Luzula acuminata",,LUZACU,native,10,1,forb,perennial,"hairy wood rush"
"Luzula multiflora",,LUZMUM,native,5,3,forb,perennial,"common wood rush"
"Luzula multiflora v. echinata",,LUZMUE,native,5,3,forb,perennial,"common wood rush"
"Lychnis alba",,LYCALB,non-native,0,5,forb,annual,"white campion"
"Lychnis chalcedonica",,LYCCHA,non-native,0,5,forb,perennial,"maltese cross"
"Lychnis coronaria",,LYCCOR,non-native,0,5,forb,perennial,"mullein pink"
"Lychnis dioica",,LYCDIO,non-native,0,5,forb,perennial,"red campion"
"Lycium barbarum",,LYCBAR,non-native,0,5,vine,perennial,"common matrimony vine"
"Lycium chinense",,LYCCHI,non-native,0,5,vine,perennial,"chinese matrimony vine"
"Lycopersicum esculentum",,LYCESC,non-native,0,5,forb,annual,tomato
"Lycopodium clavatum",,LYCCLC,native,10,0,fern,perennial,"running ground pine"
"Lycopodium clavatum v. megastachyon",,LYCCLM,native,10,0,fern,perennial,"running ground pine"
"Lycopodium dendroideum",,LYCDEN,native,10,0,fern,perennial,"ground pine"
"Lycopodium digitatum",,LYCDIG,native,5,5,fern,perennial,"trailing ground pine"
"Lycopodium inundatum",,LYCINU,native,10,-5,fern,perennial,"bog club moss"
"Lycopodium lucidulum",,LYCLUC,native,10,-1,fern,perennial,"shining club moss"
"Lycopodium porophilum",,LYCPOR,native,10,4,fern,perennial,"cliff club moss"
"Lycopodium x habereri",,LYCHAB,native,10,5,fern,perennial,"hybrid ground pine"
"Lycopus americanus",,LYCAME,native,3,-5,forb,perennial,"common water horehound"
"Lycopus asper",,LYCASP,non-native,0,-5,forb,perennial,"rough water horehound"
"Lycopus europaeus",,LYCEUR,non-native,0,-5,forb,perennial,"european water horehound"
"Lycopus rubellus",,LYCRUB,native,8,-5,forb,perennial,"stalked water horehound"
"Lycopus uniflorus",,LYCUNI,native,7,-5,forb,perennial,"nothern bugle weed"
"Lycopus virginicus",,LYCVIR,native,5,-5,forb,perennial,"bugle weed"
"Lycoris radiata",,LYCRAD,non-native,0,5,forb,perennial,"surprise lily"
"Lysimachia ciliata",,LYSCIL,native,4,-3,forb,perennial,"fringed loosestrife"
"Lysimachia clethroides",,LYSCLE,non-native,0,5,forb,perennial,"white loosestrife"
"Lysimachia fraseri",,LYSFRA,native,10,0,forb,perennial,"frasers loosestrife"
"Lysimachia hybrida",,LYSHYB,native,7,-5,forb,perennial,loosestrife
"Lysimachia lanceolata",,LYSLAN,native,6,0,forb,perennial,"lance-leaved loosestrife"
"Lysimachia nummularia",,LYSNUM,non-native,0,-4,forb,perennial,moneywort
"Lysimachia punctata",,LYSPUN,non-native,0,-5,forb,perennial,"dotted loosestrife"
"Lysimachia quadriflora",,LYSQUR,native,8,-5,forb,perennial,"narrow-leaved loosestrife"
"Lysimachia quadrifolia",,LYSQUL,native,9,5,forb,perennial,"whorled loosestrife"
"Lysimachia radicans",,LYSRAD,native,10,-5,forb,perennial,"creeping loosestrife"
"Lysimachia terrestris",,LYSTER,native,8,-5,forb,perennial,"swamp candles"
"Lysimachia thyrsiflora",,LYSTHY,native,7,-5,forb,perennial,"tufted loosestrife"
"Lysimachia vulgaris",,LYSVUL,non-native,0,-2,forb,perennial,"garden loosestrife"
"Lysimachia x commixta",,LYSCOM,native,7,-5,forb,perennial,"hybrid loosestrife"
"Lythrum alatum",,LYTALA,native,5,-5,forb,perennial,"winged loosestrife"
"Lythrum salicaria",,LYTSAL,non-native,0,-5,forb,perennial,"purple loosestrife"
"Macleaya cordata",,MACCOR,non-native,0,5,forb,annual,"plume poppy"
"Maclura pomifera",,MACPOM,non-native,0,3,tree,perennial,"hedge apple"
"Magnolia acuminata",,MAGACU,native,8,5,tree,perennial,"cucumber magnolia"
"Maianthemum canadense",,MAICAC,native,10,0,forb,perennial,"canada mayflower"
"Maianthemum canadense v. interius",,MAICAI,native,9,0,forb,perennial,"wild lily-of-the-valley"
"Malaxis brachypoda",,MALBRA,native,10,5,forb,perennial,"white adders mouth"
"Malaxis unifolia",,MALUNI,native,10,0,forb,perennial,"green adders mouth"
"Malcolmia africana",,MALAFR,non-native,0,5,forb,annual,"african malcomia"
"Malus angustifolia",,MALANG,native,10,5,tree,perennial,"narrow-leaved crab"
"Malus baccata",,MALBAC,non-native,0,5,tree,perennial,"siberian crab"
"Malus coronaria",,MALCOR,native,5,3,tree,perennial,"wild sweet crab"
"Malus ioensis",,MALIOE,native,3,5,tree,perennial,"iowa crab"
"Malus prunifolia",,MALPRU,non-native,0,5,tree,perennial,"plum-leaved crab"
"Malus pumila",,MALPUM,non-native,0,5,tree,perennial,apple
"Malus sieboldii",,MALSIE,non-native,0,5,tree,perennial,"japanese crab"
"Malus x soulardii",,MALOUL,non-native,0,5,tree,perennial,"soulard crab apple"
"Malva alcea",,MALALC,non-native,0,5,forb,perennial,"vervain mallow"
"Malva moschata",,MALMOS,non-native,0,5,forb,perennial,"musk mallow"
"Malva neglecta",,MALNEG,non-native,0,5,forb,biennial,cheeses
"Malva rotundifolia",,MALROT,non-native,0,5,forb,biennial,"dwarf mallow"
"Malva sylvestris",,MALSYL,non-native,0,5,forb,biennial,"high mallow"
"Malva verticillata v. crispa",,MALVER,non-native,0,5,forb,annual,"curled mallow"
"Manfreda virginica",,MANVIR,native,8,5,forb,perennial,"false aloe"
"Marrubium vulgare",,MARVUL,non-native,0,0,forb,perennial,"common horehound"
"Marsilea quadrifolia",,MARQUA,non-native,0,-5,forb,perennial,"water clover"
"Matelea decipiens",,MATDEC,native,5,5,vine,perennial,"climbing milkweed"
"Matelea gonocarpa",,MATGON,native,8,5,vine,perennial,"climbing milkweed"
"Matelea obliqua",,MATOBL,native,10,5,vine,perennial,"climbing milkweed"
"Matricaria chamomilla",,MATCHA,non-native,0,5,forb,annual,"german chamomile"
"Matricaria matricarioides",,MATMAT,non-native,0,3,forb,annual,"pineapple weed"
"Matricaria perforata",,MATPER,non-native,0,5,forb,annual,"scentless chamomile"
"Matteuccia struthiopteris",,MATSTR,native,9,-3,fern,perennial,"ostrich fern"
"Matthiola incana",,MATINC,non-native,0,5,forb,annual,stock
"Mazus pumilus",,MAZPUM,non-native,0,5,forb,annual,"annual mazus"
"Mecardonia acuminata",,MECACU,native,7,-5,forb,perennial,"water hyssop"
"Medeola virginiana",,MEDVIR,native,10,5,forb,perennial,"indian cucumber root"
"Medicago arabica",,MEDARA,non-native,0,5,forb,annual,"spotted medic"
"Medicago falcata",,MEDFAL,non-native,0,5,forb,perennial,"sickle alfalfa"
"Medicago lupulina",,MEDLUP,non-native,0,1,forb,annual,"black medick"
"Medicago orbicularis",,MEDORB,non-native,0,5,forb,annual,"round medick"
"Medicago sativa",,MEDSAT,non-native,0,5,forb,perennial,alfalfa
"Medicago x varia",,MEDVAR,non-native,0,5,forb,perennial,"hybrid alfalfa"
"Megalodonta beckii",,MEGBEC,native,10,-5,forb,perennial,"water marigold"
"Melampyrum lineare v. latifolium",,MELLIN,native,10,1,forb,annual,"cow wheat"
"Melanthera nivea",,MELNIV,native,10,3,forb,perennial,"white melanthera"
"Melanthium virginicum",,MELVIR,native,10,-4,forb,perennial,"bunch flower"
"Melica mutica",,MELMUT,native,8,5,grass,perennial,"narrow melic grass"
"Melica nitens",,MELNIT,native,7,5,grass,perennial,"tall melic grass"
"Melilotus alba",,MELALB,non-native,0,3,forb,biennial,"white sweet clover"
"Melilotus altissima",,MELALT,non-native,0,5,forb,biennial,"tall sweet clover"
"Melilotus officinalis",,MELOFC,non-native,0,3,forb,biennial,"yellow sweet clover"
"Melissa officinalis",,MELOFN,non-native,0,5,forb,perennial,"common balm"
"Melochia corchorifolia",,MELCOR,non-native,0,5,forb,annual,"chocolate weed"
"Melothria pendula",,MELPEN,native,6,1,forb,perennial,"creeping cucumber"
"Menispermum canadense",,MENCAN,native,4,-1,vine,perennial,moonseed
"Mentha arvensis v. villosa",,MENARV,native,4,-3,forb,perennial,"wild mint"
"Mentha crispa",,MENCRI,non-native,0,-4,forb,perennial,"curly mint"
"Mentha spicata",,MENSPI,non-native,0,-4,forb,perennial,spearmint
"Mentha suaveolens",,MENSUA,non-native,0,5,forb,perennial,"sweet apple mint"
"Mentha x citrata",,MENCIT,non-native,0,-5,forb,perennial,"hybrid lemon mint"
"Mentha x gentilis",,MENGEN,non-native,0,-4,forb,perennial,"little-leaved mint"
"Mentha x piperita",,MENPIP,non-native,0,-5,forb,perennial,peppermint
"Mentha x rotundifolia",,MENROT,non-native,0,-4,forb,perennial,"apple mint"
"Mentha x verticillata",,MENVER,non-native,0,-4,forb,perennial,"whorled mint"
"Mentha x villosa",,MENVIL,non-native,0,-4,forb,perennial,"foxtail mint"
"Mentzelia decapetala",,MENDEC,non-native,0,5,forb,perennial,"sand lily"
"Mentzelia nuda",,MENNUD,non-native,0,5,forb,perennial,"large-flowered mentzelia"
"Mentzelia oligosperma",,MENOLI,native,10,5,forb,perennial,stickleaf
"Menyanthes trifoliata v. minor",,MENTRI,native,10,-5,forb,perennial,buckbean
"Mertensia virginica",,MERVIR,native,5,-3,forb,perennial,"virginia bluebells"
"Microstegium vimineum",,MICVIM,non-native,0,0,grass,annual,eulalia
"Microsteris gracilis",,MICGRA,non-native,0,5,forb,annual,microsteris
"Mikania scandens",,MIKSCA,native,9,-5,forb,perennial,"climbing hempweed"
"Milium effusum",,MILEFF,native,10,2,grass,perennial,"wood millet"
"Mimulus alatus",,MIMALA,native,6,-5,forb,perennial,"winged monkey flower"
"Mimulus glabratus v. fremontii",,MIMGLA,native,9,-5,forb,perennial,"yellow monkey flower"
"Mimulus ringens",,MIMRIN,native,5,-5,forb,perennial,"monkey flower"
"Minuartia patula",,MINPAT,native,8,5,forb,annual,"slender sandwort"
"Minuartia stricta",,MINSTR,native,10,5,forb,perennial,"rock sandwort"
"Mirabilis albida",,MIRALB,non-native,0,5,forb,perennial,"pale umbrellawort"
"Mirabilis hirsuta",,MIRHIR,native,5,5,forb,perennial,"hairy umbrellawort"
"Mirabilis jalapa",,MIRJAL,non-native,0,5,forb,perennial,"four oclock"
"Mirabilis linearis",,MIRLIN,non-native,0,5,forb,perennial,"narrow-leaved umbrellawort"
"Mirabilis nyctaginea",,MIRNYC,non-native,0,5,forb,perennial,"wild four oclock"
"Miscanthus sacchariflorus",,MISSAC,non-native,0,5,grass,perennial,"silver grass"
"Miscanthus sinensis",,MISSIN,non-native,0,5,grass,perennial,"chinese silver grass"
"Misopates orontium",,MISORO,non-native,0,5,forb,annual,"lesser snapdragon"
"Mitchella repens",,MITREP,native,8,2,shrub,perennial,"partridge berry"
"Mitella diphylla",,MITDIP,native,9,2,forb,perennial,"bishops cap"
"Moehringia lateriflora",,MOELAT,native,7,3,forb,perennial,"blunt-leaf sandwort"
"Moenchia erecta",,MOEERE,non-native,0,5,forb,annual,
"Mollugo verticillata",,MOLVER,non-native,0,0,forb,annual,"carpet weed"
"Monarda bradburiana",,MONBRA,native,5,5,forb,perennial,monarda
"Monarda citriodora",,MONCIT,non-native,0,5,forb,perennial,"lemon mint"
"Monarda clinopodia",,MONCLI,native,7,5,forb,perennial,"basil bee balm"
"Monarda didyma",,MONDID,non-native,0,5,forb,perennial,"oswego tea"
"Monarda fistulosa",,MONFIS,native,4,3,forb,perennial,"wild bergamot"
"Monarda punctata",,MONPUN,native,5,5,forb,perennial,horsemint
"Monolepis nuttalliana",,MONNUT,non-native,0,5,forb,annual,"poverty weed"
"Monotropa hypopithys",,MONHYP,native,8,5,forb,perennial,pinesap
"Monotropa uniflora",,MONUNI,native,8,3,forb,perennial,"indian pipe"
"Morus alba",,MORALB,non-native,0,0,tree,perennial,"white mulberry"
"Morus rubra",,MORRUB,native,4,1,tree,perennial,"red mulberry"
"Muhlenbergia asperifolia",,MUHASP,non-native,0,-3,grass,perennial,"scratch grass"
"Muhlenbergia bushii",,MUHBUS,native,6,5,grass,perennial,"short-leaved satin grass"
"Muhlenbergia capillaris",,MUHCAP,native,8,3,grass,perennial,"hair grass"
"Muhlenbergia cuspidata",,MUHCUS,native,10,5,grass,perennial,"prairie satin grass"
"Muhlenbergia frondosa",,MUHFRO,native,3,-3,grass,perennial,"common satin grass"
"Muhlenbergia glabriflora",,MUHGLA,native,7,5,grass,perennial,"smooth satin grass"
"Muhlenbergia glomerata",,MUHGLO,native,10,-5,grass,perennial,"marsh wild timothy"
"Muhlenbergia mexicana",,MUHMEX,native,4,-3,grass,perennial,"leafy satin grass"
"Muhlenbergia racemosa",,MUHRAC,native,0,-3,grass,perennial,"upland wild timothy"
"Muhlenbergia schreberi",,MUHSCH,native,0,0,grass,perennial,nimblewill
"Muhlenbergia sobolifera",,MUHSOB,native,5,5,grass,perennial,"rock satin grass"
"Muhlenbergia sylvatica",,MUHSYL,native,7,-3,grass,perennial,"woodland satin grass"
"Muhlenbergia tenuiflora",,MUHTEN,native,6,5,grass,perennial,"slender satin grass"
"Muscari armeniacum",,MUSARM,non-native,0,5,forb,perennial,"grape hyacinth"
"Muscari atlanticum",,MUSATL,non-native,0,5,forb,perennial,"blue bottle"
"Muscari botryoides",,MUSBOT,non-native,0,5,forb,perennial,"common grape hyacinth"
"Muscari comosum",,MUSCOM,non-native,0,5,forb,perennial,"grape hyacinth"
"Myosotis arvensis",,MYOARV,non-native,0,0,forb,biennial,"field scorpion grass"
"Myosotis macrosperma",,MYOMAC,native,4,0,forb,annual,"scorpion grass"
"Myosotis scorpioides",,MYOSCO,non-native,0,-5,forb,perennial,"common forget-me-not"
"Myosotis stricta",,MYOSTR,non-native,0,5,forb,annual,"small-flowered forget-me-not"
"Myosotis sylvatica",,MYOSYL,non-native,0,5,forb,perennial,"woodland forget-me-not"
"Myosotis verna",,MYOVER,native,3,1,forb,annual,"white forget-me-not"
"Myosoton aquaticum",,MYOAQU,non-native,0,-1,forb,perennial,"giant chickweed"
"Myosurus minimus",,MYOMIN,native,0,-3,forb,annual,mousetail
"Myriophyllum exalbescens",,MYREXA,native,6,-5,forb,perennial,"spiked water milfoil"
"Myriophyllum heterophyllum",,MYRHET,native,10,-5,forb,perennial,"various-leaved water milfoil"
"Myriophyllum hippuroides",,MYRHIP,native,10,-5,forb,perennial,"mares tail milfoil"
"Myriophyllum pinnatum",,MYRPIN,native,9,-5,forb,perennial,"rough water milfoil"
"Myriophyllum spicatum",,MYRSPI,non-native,0,-5,forb,perennial,"european water milfoil"
"Myriophyllum verticillatum v. pectinatum",,MYRVER,native,9,-5,forb,perennial,"whorled water milfoil"
"Najas flexilis",,NAJFLE,native,5,-5,forb,annual,"common naiad"
"Najas gracillima",,NAJGRA,native,7,-5,forb,annual,"slender naiad"
"Najas guadalupensis",,NAJGUA,native,5,-5,forb,annual,"southern naiad"
"Najas marina",,NAJMAR,non-native,0,-5,forb,annual,"spiny naiad"
"Najas minor",,NAJMIN,non-native,0,-5,forb,annual,"lesser naiad"
"Napaea dioica",,NAPDIO,native,4,-2,forb,perennial,"glade mallow"
"Narcissus poeticus",,NARPEO,non-native,0,5,forb,perennial,"poets narcissus"
"Narcissus pseudonarcissus",,NARPSE,non-native,0,5,forb,perennial,daffodil
"Narcissus x medioluteus",,NARMED,non-native,0,5,forb,perennial,"primrose peerless"
"Nasturtium officinale",,NASOFF,non-native,0,-5,forb,perennial,"water cress"
"Nelumbo lutea",,NELLUT,native,5,-5,forb,perennial,"american lotus"
"Nemopanthus mucronatus",,NEMMUC,native,10,-5,shrub,perennial,"mountain holly"
"Nepeta cataria",,NEPCAT,non-native,0,1,forb,perennial,catnip
"Neslia paniculata",,NESPAN,non-native,0,5,forb,annual,"ball mustard"
"Nicandra physalodes",,NICPHY,non-native,0,5,forb,annual,apple-of-peru
"Nicotiana longiflora",,NICLON,non-native,0,5,forb,annual,"long-flowered tobacco"
"Nicotiana rustica",,NICRUS,non-native,0,5,forb,annual,"wild tobacco"
"Nigella damascena",,NIGDAM,non-native,0,5,forb,annual,love-in-a-mist
"Nothocalais cuspidata",,NOTCUS,native,9,5,forb,perennial,"prairie dandelion"
"Nothoscordum bivalve",,NOTBIV,native,5,5,forb,perennial,"crow poison"
"Nuphar luteum sp. macrophyllum",,NUPLUM,native,6,-5,forb,perennial,spatterdock
"Nuphar luteum sp. variegatum",,NUPLUV,native,8,-5,forb,perennial,"bullhead lilly"
"Nymphaea odorata",,NYMODO,native,6,-5,forb,perennial,"fragrant water lily"
"Nymphoides peltata",,NYMPEL,non-native,0,-5,forb,perennial,"yellow floating heart"
"Nyssa aquatica",,NYSAQU,native,10,-5,tree,perennial,"swamp tupelo"
"Nyssa sylvatica",,NYSSYL,native,7,5,tree,perennial,"black gum"
"Obolaria virginica",,OBOVIR,native,8,5,forb,perennial,pennywort
"Ocimum basilicum",,OCIBAS,non-native,0,5,forb,annual,basil
"Oenothera biennis",,OENBIB,native,1,3,forb,biennial,"common evening primrose"
"Oenothera biennis v. canescens",,OENBIC,native,1,3,forb,biennial,"common evening primrose"
"Oenothera fruticosa",,OENFRF,native,9,2,forb,perennial,"shrubby sundrops"
"Oenothera fruticosa v. glauca",,OENFRG,native,9,2,forb,perennial,"glandular sundrops"
"Oenothera laciniata",,OENLAC,native,2,3,forb,annual,"ragged evening primrose"
"Oenothera linifolia",,OENLIN,native,8,5,forb,annual,"thread-leaved sundrops"
"Oenothera macrocarpa",,OENMAC,non-native,0,5,forb,perennial,"missouri primrose"
"Oenothera nuttallii",,OENNUT,non-native,0,5,forb,perennial,"white evening primrose"
"Oenothera parviflora",,OENPAR,non-native,0,4,forb,biennial,"evening primrose"
"Oenothera perennis",,OENPER,native,8,0,forb,perennial,"small sundrops"
"Oenothera pilosella",,OENPIL,native,6,1,forb,perennial,"prairie sundrops"
"Oenothera rhombipetala",,OENRHO,native,5,3,forb,biennial,"sand primrose"
"Oenothera speciosa",,OENSPE,non-native,0,5,forb,perennial,"showy evening primrose"
"Oenothera triloba",,OENTRI,non-native,0,5,forb,biennial,"evening primrose"
"Onobrychis viciaefolia",,ONOVIC,non-native,0,5,forb,annual,sainfoin
"Onoclea sensibilis",,ONOSEN,native,5,-3,fern,perennial,"sensitive fern"
"Ononis spinosa",,ONOSPI,non-native,0,5,forb,annual,"rest harrow"
"Onopordum acanthium",,ONOACA,non-native,0,5,forb,biennial,"scotch cotton thistle"
"Onosmodium hispidissimum",,ONOHIS,native,5,5,forb,perennial,"rough marbleseed"
"Onosmodium molle",,ONOMOM,native,10,5,forb,perennial,"downy marbleseed"
"Onosmodium molle v. occidentale",,ONOMOO,native,8,5,forb,perennial,"downy marbleseed"
"Ophioglossum engelmannii",,OPHENG,native,9,4,fern,perennial,"cliff adders tongue fern"
"Ophioglossum vulgatum v. pseudopodum",,OPHVPS,native,6,-3,fern,perennial,"northern adders tongue fern"
"Ophioglossum vulgatum v. pycnostichum",,OPHVPY,native,7,-3,fern,perennial,"northern adders tongue fern"
"Opuntia fragilis",,OPUFRA,native,9,5,shrub,perennial,"fragile prickley pear"
"Opuntia humifusa",,OPUHUM,native,5,5,shrub,perennial,"eastern prickly-pear"
"Opuntia macrorhiza",,OPUMAC,native,8,5,shrub,perennial,"plains prickly-pear"
"Origanum vulgare",,ORIVUL,non-native,0,5,forb,perennial,oregano
"Ornithogalum nutans",,ORNNUT,non-native,0,5,forb,perennial,"nodding star of bethlehem"
"Ornithogalum umbellatum",,ORNUMB,non-native,0,1,forb,perennial,"common star of bethlehem"
"Orobanche fasciculata",,OROFAS,native,10,5,forb,perennial,"clustered broom rape"
"Orobanche ludoviciana",,OROLUD,native,10,5,forb,perennial,"southern broom rape"
"Orobanche ramosa",,ORORAM,non-native,0,5,forb,perennial,"branched broom rape"
"Orobanche uniflora",,OROUNI,native,8,5,forb,perennial,cancer-root
"Orthilia secunda",,ORTSEC,native,10,-1,forb,perennial,"one-sided shinleaf"
"Oryzopsis asperifolia",,ORYASP,native,10,5,grass,perennial,"rough-leaved rice grass"
"Oryzopsis pungens",,ORYPUN,native,10,5,grass,perennial,"short-horned rice grass"
"Oryzopsis racemosa",,ORYRAC,native,8,5,grass,perennial,"black-seeded rice grass"
"Osmorhiza claytonii",,OSMCLI,native,3,4,forb,perennial,"hairy sweet cicely"
"Osmorhiza longistylis",,OSMLON,native,3,4,forb,perennial,"anise root"
"Osmunda cinnamomea",,OSMCIN,native,9,-3,fern,perennial,"cinnamon fern"
"Osmunda claytoniana",,OSMCLN,native,9,-1,fern,perennial,"interrupted fern"
"Osmunda regalis v. spectabilis",,OSMREG,native,8,-5,fern,perennial,"regal fern"
"Ostrya virginiana",,OSTVIR,native,4,4,tree,perennial,"hop hornbeam"
"Oxalis corniculata",,OXACOR,non-native,0,3,forb,perennial,"creeping wood sorrel"
"Oxalis dillenii",,OXADIL,native,0,3,forb,perennial,"common wood sorrel"
"Oxalis illinoensis",,OXAILL,native,10,5,forb,perennial,"illinois wood sorrel"
"Oxalis stricta",,OXASTR,native,0,3,forb,perennial,"tall wood sorrel"
"Oxalis violacea",,OXAVIO,native,5,5,forb,perennial,"violet wood sorrel"
"Oxydendrum arboreum",,OXYARB,non-native,0,3,tree,perennial,sourwood
"Oxypolis rigidior",,OXYRIG,native,7,-5,forb,perennial,cowbane
"Pachysandra terminalis",,PACTER,non-native,0,5,shrub,perennial,"japanese spurge"
"Panax quinquefolius",,PANQUI,native,7,5,forb,perennial,ginseng
"Panicum anceps",,PANANC,native,3,-3,grass,perennial,"beaked panic grass"
"Panicum auburne",,PANAUB,native,10,2,grass,perennial,"red-brown panic grass"
"Panicum boreale",,PANBOR,native,10,2,grass,perennial,"northern panic grass"
"Panicum boscii",,PANBOB,native,5,5,grass,perennial,"bearded broad-leaved panic grass"
"Panicum boscii v. molle",,PANBOM,native,5,5,grass,perennial,"large-fruited panic grass"
"Panicum capillare",,PANCAP,native,0,0,grass,annual,"old witch grass"
"Panicum clandestinum",,PANCLA,native,4,-3,grass,perennial,"deer-tongue grass"
"Panicum columbianum",,PANCOL,native,10,5,grass,perennial,"hemlock panic grass"
"Panicum commutatum",,PANCOC,native,7,0,grass,perennial,"panic grass"
"Panicum commutatum v. ashei",,PANCOA,native,7,0,grass,perennial,"ashes panic grass"
"Panicum depauperatum",,PANDEP,native,7,5,grass,perennial,"starved panic grass"
"Panicum dichotomiflorum",,PANDII,native,0,-2,grass,annual,"fall panicum"
"Panicum dichotomum",,PANDIU,native,6,1,grass,perennial,"forked panic grass"
"Panicum flexile",,PANFLE,native,7,-4,grass,annual,"slender panic grass"
"Panicum gattingeri",,PANGAT,native,5,0,grass,annual,"gattingers panic grass"
"Panicum hians",,PANHIA,native,5,-5,grass,perennial,"panic grass"
"Panicum implicatum",,PANIMP,native,2,0,grass,perennial,"old field panic grass"
"Panicum joori",,PANJOO,native,10,5,grass,perennial,"joors panic grass"
"Panicum latifolium",,PANLAT,native,5,3,grass,perennial,"broad-leaved panic grass"
"Panicum laxiflorum",,PANLAX,native,5,1,grass,perennial,"loose-flowered panic grass"
"Panicum leibergii",,PANLEI,native,7,2,grass,perennial,"prairie panic grass"
"Panicum lindheimeri",,PANLID,native,4,2,grass,perennial,"smooth woolly panic grass"
"Panicum linearifolium",,PANLIE,native,7,5,grass,perennial,"slender-leaved panic grass"
"Panicum longifolium",,PANLON,native,10,-5,grass,perennial,"long-leaved panic grass"
"Panicum malacophyllum",,PANMAL,native,10,5,grass,perennial,"soft-leaved panic grass"
"Panicum mattamuskeetense",,PANMAT,native,5,5,grass,perennial,"false bearded panic grass"
"Panicum meridionale",,PANMER,native,7,5,grass,perennial,"mat panic grass"
"Panicum microcarpon",,PANMIC,native,6,5,grass,perennial,"small-fruited panic grass"
"Panicum miliaceum",,PANMIL,non-native,0,0,grass,annual,"broom-corn millet"
"Panicum oligosanthes v. helleri",,PANOLH,native,5,3,grass,perennial,"hellers panic grass"
"Panicum oligosanthes v. scribnerianum",,PANOLS,native,3,3,grass,perennial,"scribners panic grass"
"Panicum perlongum",,PANPER,native,9,5,grass,perennial,"long-stalked panic grass"
"Panicum philadelphicum",,PANPHI,native,5,5,grass,annual,"philadelphia panic grass"
"Panicum polyanthes",,PANPOL,native,6,5,grass,perennial,"small-fruited panic grass"
"Panicum praecocius",,PANPRA,native,7,5,grass,perennial,"early white-haired panic grass"
"Panicum ravenelii",,PANRAV,native,10,0,grass,perennial,"ravenels panic grass"
"Panicum rigidulum",,PANRIR,native,6,-3,grass,perennial,"munro grass"
"Panicum rigidulum v. condensum",,PANRIC,native,6,-3,grass,perennial,"munro grass"
